 De 25 ate 50,  custa: inf
 De 25 ate 51,  custa: 25
 De 45 ate 70,  De 49 ate 66,  custa: inf
 custa: inf
 De 45 ate 71,  custa: 8
 De 49 ate 67,  custa: 22
 De 25 ate 52,  custa: 24
 De 25 ate 53,  custa: 26
 De 45 ate 72,  custa: inf
 De 49 ate 68,  custa: inf
 De 45 ate 73,  custa: 28
 De 49 ate 69,  De 25 ate 54,  custa: inf
 custa: inf
 De 25 ate 55,  custa: 27
 De 49 ate 70,  custa: inf
 De 49 ate 71,  custa: 8
 De 45 ate 74,  custa: 18
 De 45 ate 75,  custa: 16
 De 49 ate 72,  custa: inf
 De 45 ate 76,  custa: 20
 De 25 ate 56,  custa: inf
 De 45 ate 77,  custa: 20
 De 49 ate 73,  custa: inf
 De 49 ate 74,  custa: 18
 De 45 ate 78,  custa: inf
 De 49 ate 75,  custa: 16
 De 25 ate 57,  custa: inf
 De 25 ate 58,  custa: 31
 De 45 ate 79,  custa: inf
 De 49 ate 76,  custa: inf
 De 49 ate 77,  custa: 5
 De 45 ate 80,  custa: 18
 De 45 ate 81,  custa: 21
 De 49 ate 78,  custa: inf
 De 25 ate 59,  custa: 30
 De 25 ate 60,  custa: 19
 De 49 ate 79,  custa: inf
 De 45 ate 82,  custa: inf
 De 25 ate 61,  custa: 26
 De 45 ate 83,  custa: 41
 De 49 ate 80,  custa: inf
 De 45 ate 84,  custa: 17
 De 25 ate 62,  custa: 24
 De 45 ate 85,  custa: 26
 De 49 ate 81,  custa: inf
 De 45 ate 86,  custa: 28
 De 49 ate 82,  custa: inf
 De 25 ate 63,  custa: inf
 De 25 ate 64,  custa: 17
 De 16 ate 86,  custa: 29
 De 25 ate 65,  De 45 ate 87,  custa: inf
 custa: inf
 De 49 ate 83,  custa: inf
 De 84 ate 17,  custa: inf
 De 49 ate 84,  custa: 0
 De 45 ate 88,  custa: 18
 De 73 ate 62,  custa: 24
 De 49 ate 85,  custa: 69
 De 25 ate 66,  custa: inf
 De 45 ate 89,  custa: inf
 De 25 ate 67,  custa: 22
 De 49 ate 86,  custa: 29
 De 45 ate 90,  custa: 33
 De 25 ate 68,  custa: inf
 De 49 ate 87,  custa: 46
 De 45 ate 91,  custa: 26
 De 25 ate 69,  custa: inf
 De 49 ate 88,  custa: 33
 De 49 ate 89,  custa: 2081,  custa: inf
 De 24 ate 67,  custa: 11
 De 80 ate 95, De 45 ate 93,  custa: 17
 De 49 ate 90,  custa: inf
 De 25 ate 71,  custa: 8
 De 45 ate 94,  custa: 34
 De 25 ate 72,  custa: inf
 De 49 ate 91,  custa: inf
 De 25 ate 73,  custa: 28
 De 49 ate 92,  custa: inf
 De 25 ate 74,  custa: 18
 De 84 ate 18,  custa: inf
 De 25 ate 75,  custa: 13
 De 84 ate 19,  custa: 33
 De 84 ate 20,  custa: 7
 De 84 ate 21,  custa: 12
 De 80 ate 97,  custa: inf
 De 16 ate 87,  custa: 12
 De 25 ate 76,  custa: inf
 De 25 ate 77,  custa: 20
 De 80 ate 98,  custa: inf
 De 84 ate 22,  custa: inf
 De 84 ate 23,  custa: 17
 De 73 ate 63,  custa: 16
 De 25 ate 78,  custa: inf
 De 84 ate 24,  De 80 ate 99,  custa: inf
 custa: inf
 De 60 ate 7,  custa: 28
 De 81 ate 0,  custa: inf
 De 25 ate 79,  custa: inf
 De 25 ate 80,  custa: 42
 De 81 ate 1,  custa: inf
 De 60 ate 8,  custa: inf
 De 25 ate 81,  custa: inf
 De 73 ate 64,  custa: inf
 De 60 ate 9,  De 81 ate 2,  custa: inf
 custa: inf
 De 60 ate 10,  custa: 15
 De 25 ate 82,  custa: inf
 De 81 ate 3,  custa: 16
 De 60 ate 11,  custa: 25
 De 25 ate 83,  custa: 21
 De 81 ate 4,  custa: 25
 De 81 ate 5,  custa: 14
 De 60 ate 12,  custa: inf
